Location,Homeworld,Starport,Size,Atmosphere,Hydrographics,Population,Government,Law_Level,Tech_Level,Trade_Codes,Travel_Code,Temperature,Culture,NPC_Name,Race,Sex,Age,Year_Born,STR,DEX,END,INT,EDU,SOC,Career,Job,Terms,Skills,Equipment,Cash,Debt,Pension
H2616,Alman,C,4,5,2,8,C,9,7,Po,,8,Unusual Customs: Nobility,3rd Officer Enrk S. Evuson,Human,Female,44,1061,4,7,5,9,C,5,Merchants,Merchant Marine,6,"Administrating 1, Advocating 0, Anglic Language 0, Animal Riding 0, Companion 0, Gravitics 1, Jack of all Trades 0, Knife Fighting 2, Mechanical Training 1, Medical Training 0, Mole Trucking 0, Persuading 0, Streetwise 2, Telecomm 0, Trading 1, Vacc Suit Training 0",Free Trader,Cr50000,Cr0,Cr12000
D2501,Ihebanjandy,C,6,6,A,6,9,6,6,Ni Ri Wa,,7,At War,Lance Corporal Shennter Z. Ponson,Human,Male,39,1066,D,3,6,6,8,9,Drifter,Scavenger,0,"Advocating 0, Anglic Language 0, Athletic Endurance 0, Bionetics 0, Field Artillery 0, Fist Fighting 1, Gambling 1, Holography 0, Jack of all Trades 1, Knife Fighting 0, Mole Trucking 0, Reconnaissance 1, Shotgun 0, Slug Rifle 1, Streetwise 0, Zero-G Training 0",1 Ship Share,Cr18000,Cr0,Cr0
K2225,Brelmes,X,5,3,2,7,5,7,5,Na Po,,3,Degenerate,4th Officer Atdemilsetus S. Kranjenth,Human,Female,43,1062,B,3,7,8,B,5,Merchants,Merchant Marine,3,"Administrating 0, Advocating 2, Anglic Language 0, Animal Training 0, Astrogating 1, Chemisty 0, Companion 0, Diplomacy 0, Genetics 0, Investigating 0, Jack of all Trades 0, Leadership 1, Mechanical Training 1, Persuading 0, Telecomm 1, Trading 1, Vacc Suit Training 1, Zero-G Training 1","Property Portfolio: Cr250000, Free Trader, 3 Ship Shares",Cr0,Cr0,Cr0
A0607,Uchred,A,3,3,3,6,5,8,A,Na Ni Po,,5,Unusual Custom: Conspiracy,Captain Kronter H. Atigelton,Human,Male,39,1066,C,9,7,9,3,6,Marines,Support,4,"Administrating 1, Anglic Language 0, Athletic Endurance 1, Athletic Strength 0, Battle Suit Training 1, Field Artillery 0, Jack of all Trades 0, Knife Fighting 2, Leadership 1, Naval Tactics 0, Slug Pistol 1, Stealth 0, Veterinary 0",Armor,Cr25000,Cr0,Cr0
D2610,Atnstimcelman,A,0,0,0,5,6,7,F,As Ni Va,,4,Unusual Custom: Media,Bratton Atmon,Human,Male,45,1060,2,4,B,9,8,4,Scout,Exploration,3,"Administrating 0, Anglic Language 0, Astrogating 1, Capital Ship Helm 1, Energy Rifle 0, Jack of all Trades 3, Mechanical Training 1, Medical Training 1, Navigating 1, Small Craft Piloting 2, Survival Training 1, Telecomm 0, Vacc Suit Training 1, Zero-G Training 1",,Cr110000,Cr0,Cr0
D2707,Lerth,B,4,7,6,4,4,8,B,Ni,,8,Unusual Customs: Nobility,Agent Etma M. Shanbenrk,Human,Female,41,1064,3,5,1,6,A,6,Scout,Courier,0,"Administrating 0, Advocating 1, Anglic Language 0, Athletic Strength 1, Autocar Driving 0, Blunt Fighting 1, Computer Training 1, Deceiving 1, Energy Pistol 1, Investigating 0, Jack of all Trades 0, Mole Trucking 1, Reconnaissance 0, Robotics 0, Streetwise 0, Survival Training 0, Tank Driving 0",,Cr17500,Cr0,Cr0
J1227,Edilarbramonng,A,6,7,9,3,3,0,C,Lo Ni,,B,Degenerate,Kredreti Anston,Human,Female,45,1060,4,B,8,7,7,7,Scout,Courier,6,"Anglic Language 0, Astrogating 1, Belter 0, Diplomacy 1, Energy Pistol 0, Jack of all Trades 0, Mechanical Training 0, Small Craft Piloting 0, Survival Training 1, Telecomm 2, Vacc Suit Training 1, Vilani Language 0, Zero-G Training 2",,Cr100000,Cr0,Cr0
L2624,Dopalmes,B,4,4,4,6,9,6,7,Ag Ni,,6,Obsessed,Oltastall Watditarndy,Human,Male,40,1065,3,5,4,B,C,8,Marines,Support,0,"Anglic Language 0, Biology 0, Energy 2, Energy Rifle 0, Field Artillery 0, Jack of all Trades 0, Knife Fighting 1, Mechanical Training 3, Ortillery Gunnery 2, Portable Artillery 1, Slug Pistol 1, Small Craft Piloting 0, Telecomm 0, Turret Gunnery 0, Vacc Suit Training 0, Veterinary 0, Zero-G Training 0",2 Ship Shares,Cr6000,Cr0,Cr0
E0711,Gwetkurdyne,A,8,6,2,6,7,6,C,Ni Ri,,8,Unusual Custom: Conspiracy,Lt Colonel Ivochrilton Y. Okronla,Human,Female,48,1057,A,B,4,6,3,9,Marines,Support,7,"Advocating 1, Anglic Language 0, Battle Suit Training 1, Energy Pistol 1, Energy Rifle 1, Gambling 1, Jack of all Trades 0, Jumping 0, Knife Fighting 1, Leadership 2, Medical Training 0, Military Tactics 2, Naval Tactics 0, Portable Artillery 1, Shotgun 1, Slug Pistol 2, Stealth 0, Telecomm 1",,Cr55000,Cr0,Cr14000
G1812,Tery,B,5,9,A,4,5,4,E,Ni Wa,,A,Unusual Customs: Travel,Captain Ani M. Tanma,Human,Female,45,1060,6,1,4,9,8,3,Marines,Support,2,"Administrating 0, Advocating 1, Anglic Language 0, Athletic Endurance 0, Carousing 0, Companion 0, Dancing 0, Deceiving 0, Energy Pistol 1, Holography 0, Jack of all Trades 2, Leadership 1, Medical Training 1, Musical Training 1, Persuading 0, Shotgun 1, Slug Rifle 0, Survival Training 1, Tank Driving 1, Vilani Language 0",1 Ship Share,Cr26000,Cr0,Cr0
