Location,Homeworld,Starport,Size,Atmosphere,Hydrographics,Population,Government,Law_Level,Tech_Level,Trade_Codes,Travel_Code,Temperature,Culture,NPC_Name,Race,Sex,Age,Year_Born,STR,DEX,END,INT,EDU,SOC,Career,Job,Terms,Skills,Equipment,Cash,Debt,Pension
I0628,Eshirie,B,3,3,4,1,0,1,E,Lo,,9,Unusual Customs: Technology,Lt Colonel Aretpalry H. Jernenza,Human,Female,56,5572,3,1,4,4,7,5,Merchants,Merchant Marine,1,"Acting 0, Anglic Language 0, Astrogating 0, Athletic Co-ord 1, Athletic Strength 0, Deceiving 0, Diplomacy 1, Energy Pistol 1, Jack of all Trades 0, Knife Fighting 1, Leadership 1, Mechanical Training 0, Medical Training 0, Military Tactics 2, Naval Tactics 1, Persuading 0, Physics 0, Reconnaissance 0, Sensor Reading 3, Ship Screens 1, Slug Pistol 3, Small Craft Piloting 1, Stealth 0, Streetwise 1, Vacc Suit Training 1, Zero-G Training 1","Armor, 1 Ship Share",Cr0,Cr11000,Cr10000
G2211,Staln,C,6,5,9,8,4,5,9,Ph,,9,Ritualized,Sergeant Otherdy V. Orothan,Human,Male,56,5572,7,7,7,C,7,9,Agent,Law Enforcement,4,"Advocating 0, Anglic Language 0, Astrogating 1, Athletic Endurance 0, Computer Training 1, Energy Rifle 1, Field Artillery 0, Investigating 1, Jack of all Trades 1, Mole Trucking 0, Reconnaissance 1, Slug Pistol 1, Stealth 1, Streetwise 2, Survival Training 2, Sword Fighting 0, Telecomm 0, Vacc Suit Training 2, Vilani Language 0","Scout Ship, Scientific Equipment",Cr72000,Cr0,Cr0
M0540,Iza,B,4,5,4,7,4,2,A,Ag,,8,Peaceful,Anm Atrlanlam,Human,Female,16,5612,8,7,6,3,6,7,Citizen,,0,"Anglic Language 0, Cybernetics 0, Jack of all Trades 0, Veterinary 0, Writing 0",,Cr0,Cr0,Cr0
A0401,Ithan,C,8,8,A,9,C,F,C,Hi Pr Wa,A,D,Liberal,Baronetess Darti Tetvel Asapun of Ithan,Human,Female,52,5576,1,1,5,7,E,c,Marines,Ground Assault,6,"Anglic Language 0, Archeology 0, Battle Suit Training 2, Computer Science 0, Computer Training 1, Diplomacy 0, Energy Pistol 2, Energy Rifle 2, Investigating 0, Jack of all Trades 0, Knife Fighting 4, Leadership 1, Medical Training 0, Military Tactics 2, Naval Tactics 1, Planetology 1, Portable Artillery 1, Reconnaissance 3, Robotics 1, Slug Pistol 1, Slug Rifle 1, Stealth 0, Streetwise 0, Telecomm 0",Armor,Cr0,Cr15000,Cr12000
P2632,Anjelck,D,6,6,7,8,5,5,3,Ga Pa Ph Ri,,5,Influenced,Etnsanstadanng Etng,Human,Female,51,5577,8,1,3,9,8,3,Drifter,Scavenger,4,"Anglic Language 0, Carousing 1, Cybernetics 0, Gambling 1, Jack of all Trades 4, Life Support 0, Mechanical Training 0, Slug Pistol 0, Space Construction 0, Tank Driving 0, Veterinary 0",1 Ship Share,Cr18000,Cr0,Cr0
K1724,Shalnstondyne,B,9,9,8,9,9,9,9,Hi In Mi,A,5,Fusion,Duchess Erie Krilynn Carson of Shalnstondyne,Human,Female,54,5574,7,2,9,D,8,F,Navy,Line/Crew,7,"Anglic Language 0, Capital Weapons 0, Civil Construction 0, Companion 0, Deceiving 1, Gravitics 1, Jack of all Trades 0, Knife Fighting 1, Leadership 1, Mole Trucking 0, Naval Tactics 1, Persuading 0, Streetwise 1, Telecomm 1, Trading 1, Vacc Suit Training 0","Ship's Boat, 2 Ship Shares",Cr70000,Cr0,Cr14000
I0826,Erwendy,A,3,2,2,6,8,A,E,He Na Ni Po,A,5,Ritualized,Arlsatnserly Elng,Human,Female,53,5575,7,3,2,2,6,7,Drifter,Wanderer,0,"Advocating 0, Anglic Language 0, Animal Training 0, Astrogating 0, Athletic Endurance 0, Athletic Strength 2, Carousing 0, Diplomacy 1, Energy Pistol 1, Jack of all Trades 0, Jumping 1, Knife Fighting 1, Mechanical Training 2, Military Tactics 1, Reconnaissance 1, Small Craft Piloting 0, Stealth 2, Streetwise 1, Survival Training 1, Telecomm 1, Vacc Suit Training 1",Scout Ship,Cr21000,Cr0,Cr0
K1921,Janshurmekrarce,E,8,5,5,1,0,5,7,Ga Lo,,8,Obsessed,Endamon Pannolo,Human,Female,50,5578,6,6,1,7,7,6,Drifter,Scavenger,2,"Administrating 1, Advocating 0, Anglic Language 0, Animal Farming 0, Athletic Strength 0, Carousing 2, Cybernetics 0, Deceiving 0, Energy Rifle 2, Heavy Launchers 1, Jack of all Trades 0, Leadership 1, Military Tactics 1, Persuading 1, Reconnaissance 1, Ship Screens 1, Slug Rifle 0, Stealth 1, Streetwise 0, Vacc Suit Training 1, Zero-G Training 0","Armor, Armor, 3 Ship Shares",Cr0,Cr110000,Cr0
B1408,Sillynn,E,5,A,5,2,5,9,9,Fl Lo,,7,Deceptive,Eljanlam Chilshalchelceko,Human,Female,50,5578,6,5,3,9,B,8,Army,Support,0,"Anglic Language 0, Animal Riding 0, Athletic Strength 0, Carousing 1, Civil Construction 0, Companion 0, Computer Training 1, Energy Rifle 1, Jack of all Trades 0, Knife Fighting 1, Medical Training 1, Mole Trucking 0, Physics 0, Portable Artillery 0, Reconnaissance 1, Robotics 0, Slug Pistol 0, Slug Rifle 1, Space Construction 1, Streetwise 1, Survival Training 0, Tank Driving 0, Telecomm 1",2 Ship Shares,Cr0,Cr0,Cr0
C2002,Oletrie,D,5,4,1,5,5,5,5,He Ni Po,,A,Nexus,Ady Ison,Human,Female,56,5572,1,5,7,A,5,7,Scout,Exploration,1,"Anglic Language 0, Animal Farming 0, Animal Riding 0, Astrogating 1, Battle Suit Training 1, Companion 0, Diplomacy 1, Energy Rifle 1, Fist Fighting 3, Jack of all Trades 1, Jumping 0, Leadership 1, Naval Tactics 0, Portable Artillery 0, Reconnaissance 1, Shotgun 1, Slug Rifle 1, Spacecraft Piloting 1, Stealth 0, Survival Training 0, Telecomm 0, Vacc Suit Training 1",,Cr27000,Cr0,Cr0
