Location,Homeworld,Starport,Size,Atmosphere,Hydrographics,Population,Government,Law_Level,Tech_Level,Trade_Codes,Travel_Code,Temperature,Culture,NPC_Name,Race,Sex,Age,Year_Born,STR,DEX,END,INT,EDU,SOC,Career,Job,Terms,Skills,Equipment,Cash,Debt,Pension
J1530,Hent,E,5,A,6,5,4,4,8,Fl Ni,A,A,Unusual Customs: Eating,Elsolannsathn Elmon,Human,Female,48,5580,5,3,5,A,8,6,Drifter,Barbarian,0,"Administrating 0, Advocating 0, Anglic Language 0, Athletic Co-ord 0, Carousing 0, Computer Training 0, Energy Pistol 0, Energy Rifle 1, Fist Fighting 1, Gambling 1, Investigating 0, Jack of all Trades 0, Knife Fighting 1, Navigating 1, Reconnaissance 1, Shotgun 1, Stealth 0, Streetwise 1, Tank Driving 0, Vilani Language 0","Ship's Boat, 2 Ship Shares",Cr27000,Cr0,Cr0
D2907,Urrirarme,C,7,7,8,4,5,4,8,Fa Ni Pa,,6,Unusual Customs: Technology,Pol Elgelsonrlie,Human,Male,50,5578,5,8,5,8,8,8,Scout,Courier,3,"Anglic Language 0, Animal Farming 1, Astrogating 1, Athletic Co-ord 1, Autocar Driving 0, Civil Construction 0, Companion 0, Jack of all Trades 0, Jumping 1, Mole Trucking 0, Navigating 1, Persuading 0, Shotgun 0, Stealth 2, Survival Training 4, Telecomm 2, Trading 0, Vacc Suit Training 1",Scout Ship,Cr75000,Cr0,Cr0
F1018,Gwelthilti,B,7,C,6,5,3,4,B,Fl Ni,,G,Liberal,Brelnshi Thonch,Human,Female,48,5580,5,6,1,2,5,7,Entertainer,Artist,4,"Acting 1, Administrating 0, Anglic Language 0, Carousing 2, Civil Construction 0, Dancing 1, Deceiving 1, Electronics 0, Grav Flying 1, History 0, Holography 1, Jack of all Trades 0, Mechanical Training 0, Mole Trucking 0, Persuading 0, Reconnaissance 0, Sculpting 1, Space Construction 0, Streetwise 2, Tank Driving 1, Writing 1",,Cr21000,Cr0,Cr0
B1209,Atregelw,C,7,B,5,2,6,3,9,Fl Lo,A,E,Unusual Customs: Nobility,Ansery Batdratw,Human,Female,49,5579,5,7,9,8,5,7,Agent,Corporate,2,"Anglic Language 0, Computer Training 1, Cybernetics 1, Diplomacy 1, Energy Pistol 0, History 0, Investigating 2, Jack of all Trades 0, Medical Training 0, Ship Screens 1, Telecomm 1",2 Ship Shares,Cr122000,Cr0,Cr10000
B0910,Erchrokosha,C,3,3,5,8,A,9,A,Ph,,5,Obsessed,Krelnsatny Pemastarnston,Human,Male,50,5578,3,1,5,6,B,8,Drifter,Wanderer,1,"Advocating 0, Anglic Language 0, Athletic Co-ord 0, Athletic Endurance 0, Athletic Strength 0, Cybernetics 0, Deceiving 1, Energy Rifle 1, Jack of all Trades 0, Jumping 3, Planetology 1, Reconnaissance 0, Ship Screens 1, Small Craft Piloting 0, Stealth 1, Streetwise 1, Survival Training 3, Vacc Suit Training 1, Vilani Language 0",,Cr0,Cr27000,Cr0
P3138,Etdretmer,B,2,4,8,8,5,9,A,Pa Ph Pi,A,2,Unusual Custom: Media,Iry Pannie,Human,Female,52,5576,5,7,7,8,8,6,Drifter,Scavenger,2,"Administrating 3, Advocating 2, Anglic Language 0, Animal Farming 0, Astrogating 0, Athletic Co-ord 1, Carousing 0, Computer Training 1, Cruise Ship Helm 0, Deceiving 1, Fist Fighting 1, Jack of all Trades 0, Knife Fighting 0, Leadership 1, Medical Training 0, Motorboat Helm 1, Sculpting 0, Space Construction 1, Stealth 1, Streetwise 1, Survival Training 1, Tank Driving 1, Vacc Suit Training 1, Veterinary 0",2 Ship Shares,Cr51000,Cr0,Cr0
J1528,Jistanginson,B,8,8,7,2,0,0,C,Fa Ga Lo,A,A,Influenced,Lieutenant And W. Pidralynn,Human,Female,53,5575,8,8,8,4,8,8,Rogue,Enforcer,3,"Anglic Language 0, Animal Training 0, Astrogating 3, Athletic Strength 2, Blunt Fighting 1, Energy Rifle 1, Jack of all Trades 0, Knife Fighting 3, Leadership 1, Mechanical Training 0, Ortillery Gunnery 2, Persuading 1, Reconnaissance 0, Ship Screens 0, Shotgun 0, Small Craft Piloting 0, Streetwise 1, Tank Driving 1, Telecomm 0, Vacc Suit Training 0, Zero-G Training 1","Armor, Armor, Armor, 2 Ship Shares",Cr115000,Cr0,Cr0
F1219,Relnshi,A,5,2,2,8,3,4,D,He Na Ph Pi Po,,3,Progressive,2nd Officer Chrimgalmita L. Imtimry,Human,Female,50,5578,3,3,6,8,9,3,Drifter,Scavenger,1,"Anglic Language 0, Animal Training 0, Autocar Driving 2, Biology 1, Companion 2, Computer Training 0, Fist Fighting 1, Jack of all Trades 0, Mechanical Training 1, Mole Trucking 0, Persuading 0, Reconnaissance 1, Spacecraft Piloting 1, Stealth 1, Tank Driving 1, Telecomm 2, Trading 1, Vacc Suit Training 2, Zero-G Training 0",2 Ship Shares,Cr61000,Cr0,Cr10000
C1805,Atmon,A,9,5,6,9,9,E,C,Hi,,1,Nexus,Nanstimarry Elakeman,Human,Male,49,5579,1,1,5,A,C,2,Entertainer,Journalist,3,"Administrating 1, Advocating 3, Anglic Language 0, Companion 0, Computer Training 1, Deceiving 1, Diplomacy 1, Electronics 1, Grav Flying 1, Investigating 1, Jack of all Trades 0, Medical Training 0, Oynprith Language 2, Reconnaissance 1, Robotics 1, Stealth 1, Streetwise 1, Telecomm 2","Scientific Equipment, Scientific Equipment, Scientific Equipment",Cr80000,Cr0,Cr0
B1510,Celmand,C,5,0,0,4,4,5,8,Ni Va,,5,Unusual Custom: Starport,Lance Corporal Ihalning O. Burnk,Human,Female,51,5577,8,2,5,4,9,6,Drifter,Barbarian,2,"Advocating 1, Anglic Language 0, Animal Farming 0, Athletic Co-ord 1, Computer Training 0, Energy Pistol 1, Energy Rifle 1, Explosives 1, Investigating 0, Jack of all Trades 0, Leadership 1, Mechanical Training 0, Medical Training 2, Reconnaissance 0, Remote Operating 1, Shotgun 0, Slug Rifle 0, Streetwise 2, Survival Training 2, Tank Driving 0, Telecomm 2, Vacc Suit Training 1, Zero-G Training 1","Scientific Equipment, 1 Ship Share",Cr25500,Cr0,Cr0
